Symbol,Company,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK
SNCY,Sun Country Airlines,Industrials,Airlines,"Minneapolis, Minnesota",1743907
SNDK,SanDisk,Information Technology,"Technology Hardware, Storage & Peripherals","Milpitas, California",2023554
SNDR,Schneider National,Industrials,Cargo Ground Transportation,"Green Bay, Wisconsin",1692063
SNEX,StoneX Group Inc.,Financials,Investment Banking & Brokerage,"New York City, New York",913760
SONO,"Sonos, Inc.",Consumer Discretionary,Consumer Electronics,"Santa Barbara, California",1314727
SPNT,SiriusPoint Ltd.,Financials,Reinsurance,"New York City, New York",1576018
SPSC,"SPS Commerce, Inc.",Information Technology,Application Software,"Minneapolis, Minnesota",1092699
SPTN,SpartanNash Company,Consumer Staples,Food Distributors,"Byron Center, Michigan",877422
SPXC,SPX Corporation,Industrials,Industrial Machinery,"Charlotte, North Carolina",88205
SSTK,"Shutterstock, Inc.",Communication Services,Interactive Media & Services,"New York City, New York",1549346
STAA,STAAR Surgical Company,Health Care,Health Care Equipment,"Monrovia, California",718937
STBA,"S&T Bancorp, Inc.",Financials,Regional Banks,"Indiana, Pennsylvania",719220
STC,Stewart Information Services Corporation,Financials,Property & Casualty Insurance,"Houston, Texas",94344
STEL,"Stellar Bancorp, Inc.",Financials,Regional Banks,"Houston, Texas",1473844
STEP,StepStone Group,Financials,Asset Management & Custody Banks,"New York City, New York",1796022
STRA,"Strategic Education, Inc.",Consumer Discretionary,Education Services,"Herndon, Virginia",1013934
STRL,"Sterling Infrastructure, Inc.",Industrials,Construction & Engineering,"The Woodlands, Texas",874238
