Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
ONTO,Onto Innovation,Information Technology,Semiconductor Materials & Equipment,"Wilmington, Massachusetts"
OPCH,Option Care Health,Health Care,Health Care Facilities,
ORA,Ormat Technologies,Utilities,Renewable Electricity,"Reno, Nevada"
ORI,Old Republic International,Financials,Property & Casualty Insurance,"Chicago, Illinois"
OSK,Oshkosh,Industrials,Construction Machinery & Heavy Transportation Equipment,"Oshkosh, Wisconsin"
OVV,Ovintiv,Energy,Oil & Gas Exploration & Production,"Denver, Colorado"
OZK,Bank OZK,Financials,Regional Banks,"Little Rock, Arkansas"
PAG,Penske Automotive Group,Consumer Discretionary,Automotive Retail,"Bloomfield Hills, Michigan"
PB,Prosperity Bancshares,Financials,Regional Banks,"Houston, Texas"
PBF,PBF Energy,Energy,Oil & Gas Refining & Marketing,"Parsippany, New Jersey"
PCH,PotlatchDeltic,Real Estate,Timber REITs,"Spokane, Washington"
PCTY,Paylocity,Industrials,Human Resource & Employment Services,"Schaumburg, Illinois"
PEGA,Pegasystems,Information Technology,Application Software,"Waltham, Massachusetts"
PEN,"Penumbra, Inc.",Health Care,Health Care Equipment,"Alameda, California"
PFGC,Performance Food Group,Consumer Staples,Food Distributors,"Richmond, Virginia"
PII,Polaris,Consumer Discretionary,Leisure Products,"Medina, Minnesota"
PK,Park Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Tysons, Virginia"
PLNT,Planet Fitness,Consumer Discretionary,Leisure Facilities,"Hampton, New Hampshire"
PNFP,Pinnacle Financial Partners,Financials,Regional Banks,"Nashville, Tennessee"
POR,Portland General Electric,Utilities,Electric Utilities,"Portland, Oregon"
POST,Post Holdings,Consumer Staples,Packaged Foods & Meats,"St Louis, Missouri"
POWI,Power Integrations,Information Technology,Semiconductors,"San Jose, California"
PPC,Pilgrim's Pride,Consumer Staples,Packaged Foods & Meats,"Greeley, Colorado"
PR,Permian Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas"
PRGO,Perrigo,Health Care,Pharmaceuticals,"Grand Rapids, Michigan"
PRI,Primerica,Financials,Life & Health Insurance,"Duluth, Georgia"
PSN,Parsons Corporation,Industrials,Aerospace & Defense,"Chantilly, Virginia"
PSTG,Pure Storage,Information Technology,"Technology Hardware, Storage & Peripherals","Santa Clara, California"
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York"
QLYS,Qualys,Information Technology,Systems Software,"Foster City, California"
